study_hours,attendance_pct,previous_marks,assignments_done,sleep_hours,internet_hours,final_score,pass_fail
1.71,94.74,91.2,6,8.13,6.44,83.57,1
1.23,77.38,64.55,3,8.94,1.49,70.5,1
9.66,90.86,79.16,6,7.34,0.68,100.0,1
8.52,72.62,99.5,0,8.68,3.49,100.0,1
7.26,82.18,39.2,6,4.1,5.27,77.06,1
4.68,76.32,49.23,7,8.91,3.5,65.77,1
2.56,86.58,57.62,4,4.24,2.21,64.21,1
2.41,54.08,59.53,1,9.34,4.47,53.9,1
3.25,53.02,58.77,4,9.95,2.78,68.36,1
5.94,62.36,93.53,5,5.76,7.46,70.75,1
7.43,57.98,79.98,1,5.26,7.38,88.57,1
6.94,93.59,72.55,5,8.59,4.02,97.84,1
3.52,60.96,51.66,5,5.52,2.62,63.51,1
9.59,98.79,87.67,0,9.19,5.9,100.0,1
7.64,66.84,96.85,0,4.62,0.29,100.0,1
5.99,59.11,87.48,10,4.76,3.8,94.95,1
6.51,89.48,30.11,9,9.87,2.69,89.06,1
4.78,82.94,74.55,2,8.04,7.36,77.36,1
3.23,74.91,33.58,9,9.08,0.1,70.8,1
4.2,77.77,48.03,9,5.95,4.42,71.09,1
7.82,85.96,34.17,2,8.06,5.93,69.44,1
1.13,61.42,72.27,3,7.57,3.88,57.55,1
2.04,99.82,78.06,1,7.62,0.68,71.53,1
1.41,98.74,38.01,8,8.1,7.78,63.33,1
1.37,82.52,56.87,9,7.45,4.14,62.16,1
8.7,59.98,61.94,10,6.57,4.91,92.15,1
7.33,84.01,55.83,6,5.66,1.89,86.91,1
5.27,53.61,38.47,6,8.61,3.87,66.11,1
1.88,51.53,59.33,5,5.36,3.43,53.66,1
5.42,62.88,82.58,2,8.15,0.6,98.45,1
5.26,73.13,34.97,5,5.4,0.85,74.27,1
2.56,93.41,35.61,7,7.75,6.7,58.1,1
4.9,86.36,54.83,7,8.48,1.92,84.93,1
4.59,87.14,95.92,10,5.31,1.56,97.34,1
6.54,71.27,76.8,8,4.36,4.04,83.12,1
6.72,67.3,77.51,0,4.79,6.15,67.59,1
1.41,68.55,55.33,0,7.64,0.5,58.46,1
4.37,99.38,71.56,2,9.1,4.61,79.63,1
6.63,52.01,30.71,2,4.27,0.95,63.11,1
5.53,93.35,74.53,9,8.4,0.29,100.0,1
8.71,78.93,93.93,7,6.05,0.42,100.0,1
6.93,71.93,72.88,9,6.87,6.67,85.79,1
2.47,86.26,91.16,0,9.57,0.94,83.9,1
1.64,74.33,80.68,1,5.99,0.36,71.79,1
6.78,93.67,38.44,1,6.79,3.5,70.99,1
1.24,95.04,93.17,2,4.08,6.75,67.4,1
6.27,71.09,34.65,5,4.49,2.1,75.97,1
9.46,63.84,67.38,0,5.55,3.37,83.65,1
6.18,79.62,39.95,1,4.17,0.32,70.85,1
4.49,95.62,30.82,0,7.79,3.59,58.38,1
6.79,60.53,59.54,4,6.56,4.62,68.89,1
5.12,81.15,50.65,6,7.29,4.57,72.87,1
5.91,81.58,64.02,7,5.05,2.66,84.05,1
9.47,86.66,70.4,9,5.78,2.52,99.9,1
4.47,56.58,33.06,0,7.98,0.85,54.54,1
9.65,85.79,38.61,6,9.79,2.93,84.33,1
9.15,95.45,69.1,4,4.3,0.8,93.06,1
2.76,58.98,54.02,9,9.34,6.13,70.9,1
1.62,61.88,81.04,0,7.46,7.73,60.91,1
1.91,98.57,75.66,2,7.38,7.76,68.65,1
1.16,59.05,89.19,6,7.0,6.92,62.86,1
1.85,92.72,78.47,9,4.42,4.81,74.54,1
7.15,74.61,60.1,0,4.54,5.61,69.41,1
1.64,62.36,77.11,6,7.61,2.28,74.36,1
3.87,93.54,49.28,4,6.05,5.05,74.17,1
8.6,72.27,51.44,0,9.5,3.65,77.65,1
1.21,75.74,85.23,0,6.44,3.86,59.15,1
8.33,67.96,61.25,0,4.86,6.06,75.15,1
3.54,79.65,85.89,10,8.29,2.26,89.2,1
2.06,58.18,87.57,8,5.76,2.54,73.48,1
7.27,69.55,90.03,10,7.15,7.4,100.0,1
6.66,98.47,94.16,2,8.19,0.45,100.0,1
8.9,62.91,60.17,4,9.4,3.89,88.27,1
7.62,82.84,52.32,10,8.75,7.3,84.28,1
8.23,66.26,70.75,9,8.06,4.88,96.33,1
3.54,88.67,55.98,8,8.08,4.37,84.01,1
2.6,56.54,72.08,5,9.68,2.0,70.12,1
7.76,98.49,79.39,8,5.77,2.75,100.0,1
8.26,72.69,78.19,7,4.01,6.82,96.95,1
9.91,61.8,56.22,7,5.63,4.47,96.83,1
4.71,53.67,41.68,0,5.31,4.12,53.05,1
4.35,58.49,60.14,8,7.97,0.8,80.53,1
7.99,75.99,39.98,5,7.8,0.13,90.55,1
4.07,66.85,92.31,8,7.56,7.71,86.81,1
9.38,91.44,54.21,2,4.1,3.02,84.33,1
8.73,71.54,40.81,2,8.37,4.83,74.31,1
4.86,62.44,31.78,5,5.94,0.64,63.64,1
7.76,80.86,75.21,8,7.99,5.46,91.16,1
7.79,85.34,74.58,6,7.34,7.46,92.33,1
1.93,58.35,53.84,2,6.06,4.61,56.94,1
9.12,58.38,35.02,2,4.81,1.01,60.26,1
5.55,51.83,58.67,1,4.57,4.65,68.43,1
8.44,86.82,51.79,8,8.99,6.13,98.56,1
3.88,83.19,77.4,2,9.51,3.25,78.36,1
9.06,73.73,72.4,10,7.9,7.04,100.0,1
4.5,92.21,55.52,4,4.62,5.19,72.0,1
1.1,90.28,45.25,8,6.41,7.19,67.68,1
9.15,79.27,99.16,7,8.37,4.99,100.0,1
1.82,93.41,61.78,1,8.68,1.05,62.98,1
3.87,60.29,78.18,2,4.71,2.48,72.03,1
9.55,55.6,39.84,1,4.0,1.61,69.7,1
9.56,63.49,63.99,7,8.27,7.27,91.66,1
6.16,52.85,31.93,5,6.14,6.08,55.33,1
6.69,76.56,65.38,5,5.53,5.41,89.98,1
5.04,96.83,97.48,8,4.08,2.41,100.0,1
3.64,51.97,56.89,7,7.24,1.47,65.1,1
3.96,56.11,32.73,3,9.11,6.05,46.48,1
7.05,72.61,32.17,3,9.75,3.79,69.81,1
7.77,96.69,57.16,8,7.39,1.81,100.0,1
8.12,65.81,41.2,0,7.09,4.93,69.43,1
8.11,75.36,31.63,1,4.51,0.32,76.49,1
1.82,52.08,82.93,1,7.29,2.61,66.76,1
5.45,57.42,62.1,5,6.28,3.75,77.27,1
1.52,99.33,50.25,3,7.64,1.18,69.33,1
5.95,98.26,93.01,10,6.33,7.88,95.26,1
4.97,50.25,38.13,9,5.44,1.67,65.11,1
8.99,97.59,96.91,2,4.57,1.04,100.0,1
4.16,81.96,51.98,2,5.89,1.63,68.11,1
2.05,93.4,92.19,2,4.58,6.15,76.94,1
2.29,72.74,72.21,5,5.06,3.4,67.28,1
7.85,75.78,87.87,7,9.92,4.52,98.11,1
6.56,74.44,98.88,10,6.66,0.17,100.0,1
1.91,83.34,50.19,6,7.19,0.28,70.66,1
1.76,56.98,97.28,3,9.24,3.57,70.9,1
7.31,51.5,57.26,10,9.97,6.53,83.19,1
1.65,65.4,56.99,3,7.5,7.08,49.92,1
8.4,85.23,53.83,10,8.87,0.69,100.0,1
7.36,60.09,67.9,9,5.96,4.31,85.81,1
1.73,83.67,40.79,10,5.83,7.31,69.44,1
1.76,98.5,68.76,10,6.42,3.1,90.46,1
9.88,54.7,67.92,10,8.04,6.64,95.76,1
4.37,83.63,83.33,1,8.09,1.07,78.81,1
4.34,72.19,88.36,0,5.89,7.48,61.33,1
8.32,93.41,60.83,8,4.8,6.01,85.85,1
9.53,58.86,51.16,1,7.79,7.53,67.91,1
9.87,84.63,48.15,7,4.77,5.41,96.91,1
7.78,91.91,43.62,8,7.47,2.91,90.89,1
4.39,97.23,34.04,3,8.16,7.51,66.87,1
1.75,84.16,53.97,7,8.2,2.2,60.01,1
7.99,74.86,48.92,8,8.52,2.66,83.58,1
6.03,80.89,97.65,9,9.24,5.61,100.0,1
4.82,93.45,69.04,9,7.0,6.12,89.72,1
9.16,78.53,54.31,4,8.38,7.44,85.22,1
2.0,51.52,70.63,6,7.72,1.64,70.16,1
5.43,96.55,39.74,9,5.12,6.38,85.32,1
1.1,84.48,61.08,3,4.15,5.91,56.11,1
5.22,83.83,73.84,0,5.71,0.51,79.63,1
1.51,60.78,64.22,2,6.66,3.1,58.05,1
2.07,82.94,58.12,4,7.7,2.26,80.32,1
2.06,69.69,99.57,2,9.1,2.44,68.92,1
6.84,82.56,91.62,10,5.18,7.86,100.0,1
7.71,55.33,73.64,6,4.75,5.14,82.04,1
6.25,82.89,69.86,8,9.78,5.74,95.52,1
9.66,99.97,73.45,5,4.65,7.81,95.16,1
4.37,52.41,44.09,9,6.87,3.02,67.15,1
3.57,98.86,57.66,0,7.51,6.41,71.38,1
8.82,70.35,32.76,6,7.25,3.48,94.86,1
3.01,93.54,63.29,2,4.52,6.96,69.42,1
9.67,89.12,68.01,4,4.34,1.45,93.31,1
1.11,78.35,45.94,9,4.63,7.58,55.12,1
9.73,86.92,97.48,3,7.51,1.75,100.0,1
1.39,93.93,93.66,9,7.27,2.61,81.13,1
9.02,70.21,80.55,4,5.4,6.05,89.64,1
5.75,66.35,67.34,4,7.83,3.15,82.87,1
9.94,83.38,90.9,5,8.92,4.87,100.0,1
1.66,90.39,39.15,9,4.25,3.56,68.89,1
5.98,88.11,85.34,9,6.99,5.94,99.9,1
9.72,89.89,38.74,10,8.14,1.83,95.76,1
5.71,71.78,85.59,5,5.51,0.47,88.69,1
6.66,90.89,49.3,7,5.85,2.4,93.42,1
7.26,56.01,91.4,7,7.68,3.79,98.37,1
5.09,77.22,96.08,10,9.39,1.34,100.0,1
6.65,50.29,40.42,8,8.86,2.84,73.13,1
6.26,66.23,62.39,7,7.5,3.2,83.41,1
9.11,68.32,98.67,10,8.38,0.46,100.0,1
1.41,69.81,63.84,1,6.19,4.67,45.15,1
3.53,84.77,90.45,9,7.85,7.07,100.0,1
9.55,69.43,71.21,10,6.8,1.21,100.0,1
9.01,72.43,56.27,0,5.14,4.78,79.16,1
5.1,61.88,50.0,9,8.21,5.32,74.16,1
6.58,68.66,44.23,1,7.34,3.35,64.6,1
3.5,61.36,83.33,1,6.15,5.61,66.32,1
2.69,53.66,57.06,2,9.47,3.29,51.43,1
5.17,80.17,65.79,9,4.13,4.04,94.27,1
4.18,83.41,64.46,6,5.89,0.06,75.28,1
